gel,lane,vial,condition
example_gel.jpeg,1,"Box E, D10",Control
example_gel.jpeg,2,L,Ladder
example_gel.jpeg,3,"Box E, D10",Control
example_gel.jpeg,4,"Box L, H9",8w37c
example_gel.jpeg,5,"box L, F5",2w37c
example_gel.jpeg,6,"Box G, D7",8w37c
example_gel.jpeg,7,"Box G, D3",2w37c
example_gel.jpeg,8,"Box D, G4",8w37c
example_gel.jpeg,9,"Box D, B2",2w37c
example_gel.jpeg,10,"Box E, D10",Control
example_gel.jpeg,11,L,Ladder
example_gel.jpeg,12,"Box E, D10",Control
